age_in_days,asset.host_name,asset.id,asset.ipv4_addresses,asset.name,asset.operating_systems,definition.cve,definition.description,definition.family,definition.id,definition.name,definition.solution,definition.vpr.score,definition.vulnerability_published,definition.workaround,definition.workaround_published,definition.workaround_type,first_observed,id,last_seen,port,protocol,resurfaced_date,severity,state,vuln_age,vuln_sla_date
311,hqcoreswan01.example.net,asset-67961,10.146.157.60,HQCORESWAN01,Cisco IOS OS,CVE-2021-1497,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-4804,Cisco HyperFlex HX Command Injection,Upgrade to the latest firmware version.,9.530912377591267,2025-12-25,Disable affected service if not required.,2025-07-08,Mitigation,2025-12-18,vuln-821568,2026-01-30,443,TCP,,Critical,ACTIVE,129,2026-03-14
365,hqcoreswan01.example.net,asset-67961,10.167.96.48,HQCORESWAN01,Cisco IOS OS,CVE-2021-1473,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-7348,Cisco Small Business Router Management Interface,Upgrade to the latest firmware version.,4.2914455970663345,2025-10-29,Disable affected service if not required.,2025-10-16,Mitigation,2025-11-19,vuln-337264,2026-02-05,443,TCP,,Low,ACTIVE,70,2026-03-08
316,hqcoreswan02.example.net,asset-64138,10.126.177.84,HQCORESWAN02,Cisco IOS OS,CVE-2023-20032,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-8496,Cisco IOS XE Software SNMP Denial of Service,Upgrade to the latest firmware version.,8.087586915841579,2025-06-03,Disable affected service if not required.,2025-06-14,Mitigation,2025-12-28,vuln-737460,2026-01-31,443,ICMP,,High,ACTIVE,81,2026-04-12
267,hqcoreswan02.example.net,asset-64138,10.28.116.117,HQCORESWAN02,Cisco IOS OS,CVE-2018-0171,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-1694,Cisco IOS and IOS XE Software Smart Install,Upgrade to the latest firmware version.,10.17777993824956,2025-09-04,Disable affected service if not required.,2025-04-17,Mitigation,2025-08-23,vuln-514828,2026-01-31,22,ICMP,,Critical,ACTIVE,100,2026-04-04
98,hqcoreswan02.example.net,asset-64138,10.75.113.102,HQCORESWAN02,Cisco IOS OS,CVE-2024-20359,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-5989,Cisco ASA and FTD Software Arbitrary File Read,Upgrade to the latest firmware version.,6.2736770125301256,2025-08-14,Disable affected service if not required.,2025-05-16,Mitigation,2025-11-26,vuln-542983,2026-02-03,8443,TCP,,Medium,ACTIVE,177,2026-04-04
238,hqcoreswan02.example.net,asset-64138,10.213.166.116,HQCORESWAN02,Cisco IOS OS,CVE-2022-20968,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-2481,Cisco IP Phone Buffer Overflow,Upgrade to the latest firmware version.,5.722646791492833,2025-11-11,Disable affected service if not required.,2025-10-07,Mitigation,2025-08-11,vuln-829928,2026-02-01,23,UDP,,Medium,ACTIVE,106,2026-04-17
13,hqcoreswan02.example.net,asset-64138,10.46.117.152,HQCORESWAN02,Cisco IOS OS,CVE-2023-20273,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-4308,Cisco IOS XE Software Web UI Command Injection,Upgrade to the latest firmware version.,7.582548447360718,2025-11-22,Disable affected service if not required.,2025-09-01,Mitigation,2025-10-17,vuln-825318,2026-01-31,0,TCP,,High,ACTIVE,32,2026-05-02
362,hqcoreswan02.example.net,asset-64138,10.116.163.93,HQCORESWAN02,Cisco IOS OS,CVE-2024-20353,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-2397,Cisco ASA and FTD Software Web Services DoS,Upgrade to the latest firmware version.,8.62381730606615,2025-06-25,Disable affected service if not required.,2025-04-21,Mitigation,2025-11-28,vuln-497073,2026-02-01,443,TCP,,High,ACTIVE,44,2026-03-10
61,branchswan01.example.net,asset-53934,10.231.34.246,BRANCHSWAN01,Cisco IOS OS,CVE-2021-1473,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-4323,Cisco Small Business Router Management Interface,Upgrade to the latest firmware version.,3.8035328985941432,2025-08-31,Disable affected service if not required.,2026-01-01,Mitigation,2025-09-12,vuln-621800,2026-01-30,443,ICMP,,Low,ACTIVE,2,2026-03-30
122,branchswan01.example.net,asset-53934,10.56.151.169,BRANCHSWAN01,Cisco IOS OS,CVE-2018-0171,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-8794,Cisco IOS and IOS XE Software Smart Install,Upgrade to the latest firmware version.,9.753738483862218,2025-05-26,Disable affected service if not required.,2025-11-28,Mitigation,2026-01-06,vuln-356600,2026-02-01,80,ICMP,,Critical,ACTIVE,161,2026-04-02
26,branchswan01.example.net,asset-53934,10.48.38.15,BRANCHSWAN01,Cisco IOS OS,CVE-2024-20353,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-6718,Cisco ASA and FTD Software Web Services DoS,Upgrade to the latest firmware version.,8.136721051822411,2025-12-22,Disable affected service if not required.,2025-08-08,Mitigation,2025-10-15,vuln-191962,2026-02-05,22,UDP,,High,ACTIVE,46,2026-04-27
313,branchswan01.example.net,asset-53934,10.170.178.180,BRANCHSWAN01,Cisco IOS OS,CVE-2022-20968,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-3906,Cisco IP Phone Buffer Overflow,Upgrade to the latest firmware version.,5.966293263847662,2025-03-17,Disable affected service if not required.,2025-07-07,Mitigation,2025-12-29,vuln-197649,2026-01-30,80,UDP,,Medium,ACTIVE,95,2026-03-11
35,branchswan01.example.net,asset-53934,10.195.110.216,BRANCHSWAN01,Cisco IOS OS,CVE-2023-20032,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-2063,Cisco IOS XE Software SNMP Denial of Service,Upgrade to the latest firmware version.,7.49283271335674,2025-10-31,Disable affected service if not required.,2025-11-06,Mitigation,2025-10-29,vuln-445200,2026-02-01,443,ICMP,,High,ACTIVE,54,2026-03-24
314,branchswan01.example.net,asset-53934,10.15.28.147,BRANCHSWAN01,Cisco IOS OS,CVE-2020-3566,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-9666,Cisco IOS XR Software DVMRP Memory Exhaustion,Upgrade to the latest firmware version.,7.287189263758583,2025-05-05,Disable affected service if not required.,2025-08-13,Mitigation,2025-09-20,vuln-738419,2026-01-30,80,UDP,,Medium,ACTIVE,135,2026-04-01
67,branchswan01.example.net,asset-53934,10.158.145.128,BRANCHSWAN01,Cisco IOS OS,CVE-2023-20198,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-9514,Cisco IOS XE Software Web UI Privilege Escalation,Upgrade to the latest firmware version.,10.229184743999374,2025-04-28,Disable affected service if not required.,2025-04-30,Mitigation,2025-11-22,vuln-739008,2026-02-04,0,UDP,,Critical,ACTIVE,50,2026-05-07
13,branchswan01.example.net,asset-53934,10.120.161.204,BRANCHSWAN01,Cisco IOS OS,CVE-2021-1497,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-2932,Cisco HyperFlex HX Command Injection,Upgrade to the latest firmware version.,10.037468375623746,2025-09-23,Disable affected service if not required.,2025-06-09,Mitigation,2025-09-24,vuln-147702,2026-02-03,80,ICMP,,Critical,ACTIVE,164,2026-04-24
328,branchswan01.example.net,asset-53934,10.52.177.73,BRANCHSWAN01,Cisco IOS OS,CVE-2019-1653,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-5168,Cisco Small Business Routers Information Disclosure,Upgrade to the latest firmware version.,7.7901955028462115,2025-08-03,Disable affected service if not required.,2025-08-07,Mitigation,2025-08-31,vuln-676710,2026-02-03,22,TCP,,High,ACTIVE,176,2026-04-16
203,branchswan01.example.net,asset-53934,10.186.146.158,BRANCHSWAN01,Cisco IOS OS,CVE-2021-34527,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-1477,Cisco IOS XE Software Buffer Overflow,Upgrade to the latest firmware version.,8.13204276990614,2025-09-30,Disable affected service if not required.,2025-07-22,Mitigation,2025-10-13,vuln-805139,2026-02-02,443,TCP,,High,ACTIVE,166,2026-04-29
80,branchswan01.example.net,asset-53934,10.161.118.229,BRANCHSWAN01,Cisco IOS OS,CVE-2024-20359,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-9797,Cisco ASA and FTD Software Arbitrary File Read,Upgrade to the latest firmware version.,6.395928601437134,2025-05-16,Disable affected service if not required.,2025-06-10,Mitigation,2025-12-24,vuln-975671,2026-02-01,80,ICMP,,Medium,ACTIVE,174,2026-04-17
107,branchswan01.example.net,asset-53934,10.148.176.85,BRANCHSWAN01,Cisco IOS OS,CVE-2022-20699,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-6793,Cisco Small Business Routers RCE,Upgrade to the latest firmware version.,9.366213041317563,2025-10-23,Disable affected service if not required.,2025-08-17,Mitigation,2025-12-31,vuln-455627,2026-02-02,0,ICMP,,Critical,ACTIVE,43,2026-04-01
122,branchswan02.example.net,asset-89388,10.96.116.213,BRANCHSWAN02,Cisco IOS OS,CVE-2024-20353,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-5958,Cisco ASA and FTD Software Web Services DoS,Upgrade to the latest firmware version.,8.316139879264686,2025-08-06,Disable affected service if not required.,2025-10-10,Mitigation,2025-12-10,vuln-492393,2026-01-30,22,TCP,,High,ACTIVE,24,2026-04-09
248,branchswan02.example.net,asset-89388,10.232.129.40,BRANCHSWAN02,Cisco IOS OS,CVE-2019-1653,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-4116,Cisco Small Business Routers Information Disclosure,Upgrade to the latest firmware version.,7.340115904239094,2025-05-05,Disable affected service if not required.,2025-04-14,Mitigation,2025-10-20,vuln-913205,2026-02-03,23,TCP,,High,ACTIVE,133,2026-03-25
106,branchswan02.example.net,asset-89388,10.186.10.118,BRANCHSWAN02,Cisco IOS OS,CVE-2023-20273,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-7350,Cisco IOS XE Software Web UI Command Injection,Upgrade to the latest firmware version.,7.413677390402632,2025-04-15,Disable affected service if not required.,2025-11-09,Mitigation,2026-01-06,vuln-426087,2026-02-05,0,ICMP,,High,ACTIVE,23,2026-04-16
24,branchswan02.example.net,asset-89388,10.27.134.197,BRANCHSWAN02,Cisco IOS OS,CVE-2023-20269,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-6119,Cisco ASA and FTD Software Remote Access VPN,Upgrade to the latest firmware version.,7.022480261158644,2025-08-01,Disable affected service if not required.,2025-09-22,Mitigation,2025-10-17,vuln-310297,2026-02-04,80,UDP,,High,ACTIVE,137,2026-04-17
344,branchswan02.example.net,asset-89388,10.31.70.39,BRANCHSWAN02,Cisco IOS OS,CVE-2022-20699,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-3580,Cisco Small Business Routers RCE,Upgrade to the latest firmware version.,9.573636885840152,2025-12-31,Disable affected service if not required.,2025-04-19,Mitigation,2025-12-12,vuln-316612,2026-02-01,80,ICMP,,Critical,ACTIVE,82,2026-04-20
361,branchswan02.example.net,asset-89388,10.206.73.147,BRANCHSWAN02,Cisco IOS OS,CVE-2023-20198,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-5011,Cisco IOS XE Software Web UI Privilege Escalation,Upgrade to the latest firmware version.,9.671274975473008,2025-08-01,Disable affected service if not required.,2025-07-18,Mitigation,2025-08-22,vuln-565198,2026-02-05,23,TCP,,Critical,ACTIVE,121,2026-03-11
55,branchswan02.example.net,asset-89388,10.99.14.23,BRANCHSWAN02,Cisco IOS OS,CVE-2023-20032,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-7987,Cisco IOS XE Software SNMP Denial of Service,Upgrade to the latest firmware version.,7.59191676064568,2025-03-08,Disable affected service if not required.,2025-05-24,Mitigation,2025-10-08,vuln-427617,2026-02-03,23,ICMP,,High,ACTIVE,172,2026-03-17
239,branchswan02.example.net,asset-89388,10.146.34.24,BRANCHSWAN02,Cisco IOS OS,CVE-2021-1497,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-8672,Cisco HyperFlex HX Command Injection,Upgrade to the latest firmware version.,9.3972629968493,2025-08-02,Disable affected service if not required.,2025-05-14,Mitigation,2025-09-09,vuln-342948,2026-02-04,23,ICMP,,Critical,ACTIVE,67,2026-03-10
201,branchswan02.example.net,asset-89388,10.47.180.235,BRANCHSWAN02,Cisco IOS OS,CVE-2021-1473,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-6412,Cisco Small Business Router Management Interface,Upgrade to the latest firmware version.,4.588778706347879,2025-07-25,Disable affected service if not required.,2025-05-20,Mitigation,2025-09-05,vuln-131734,2026-02-05,443,TCP,,Low,ACTIVE,90,2026-04-07
261,branchswan03.example.net,asset-70455,10.27.104.210,BRANCHSWAN03,Cisco IOS OS,CVE-2023-20269,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-2752,Cisco ASA and FTD Software Remote Access VPN,Upgrade to the latest firmware version.,7.325869728298112,2025-02-09,Disable affected service if not required.,2025-12-02,Mitigation,2025-10-22,vuln-658624,2026-02-02,443,ICMP,,High,ACTIVE,106,2026-04-22
281,branchswan03.example.net,asset-70455,10.41.250.124,BRANCHSWAN03,Cisco IOS OS,CVE-2022-20968,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-7288,Cisco IP Phone Buffer Overflow,Upgrade to the latest firmware version.,5.0660599346512125,2025-09-23,Disable affected service if not required.,2025-06-01,Mitigation,2025-09-18,vuln-694764,2026-01-30,80,ICMP,,Medium,ACTIVE,178,2026-04-22
340,branchswan03.example.net,asset-70455,10.172.20.190,BRANCHSWAN03,Cisco IOS OS,CVE-2022-20699,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-8972,Cisco Small Business Routers RCE,Upgrade to the latest firmware version.,9.41432286048057,2025-03-08,Disable affected service if not required.,2025-05-15,Mitigation,2025-10-16,vuln-682051,2026-02-05,443,TCP,,Critical,ACTIVE,79,2026-04-12
307,branchswan03.example.net,asset-70455,10.28.176.209,BRANCHSWAN03,Cisco IOS OS,CVE-2019-1653,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-7208,Cisco Small Business Routers Information Disclosure,Upgrade to the latest firmware version.,7.3274082429282,2025-02-11,Disable affected service if not required.,2025-12-07,Mitigation,2025-12-15,vuln-328182,2026-01-30,23,ICMP,,High,ACTIVE,163,2026-03-17
76,branchswan03.example.net,asset-70455,10.170.39.116,BRANCHSWAN03,Cisco IOS OS,CVE-2023-20032,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-9704,Cisco IOS XE Software SNMP Denial of Service,Upgrade to the latest firmware version.,7.491503253504505,2025-02-26,Disable affected service if not required.,2025-05-24,Mitigation,2025-11-18,vuln-315651,2026-01-31,80,UDP,,High,ACTIVE,146,2026-03-18
66,datacenterrtr01.example.net,asset-99071,10.219.76.16,DATACENTERRTR01,Cisco IOS OS,CVE-2020-3566,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-7049,Cisco IOS XR Software DVMRP Memory Exhaustion,Upgrade to the latest firmware version.,7.2010756950742385,2025-12-11,Disable affected service if not required.,2026-01-07,Mitigation,2025-08-17,vuln-960622,2026-02-03,22,UDP,,Medium,ACTIVE,8,2026-04-22
360,datacenterrtr01.example.net,asset-99071,10.152.101.161,DATACENTERRTR01,Cisco IOS OS,CVE-2021-1497,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-6212,Cisco HyperFlex HX Command Injection,Upgrade to the latest firmware version.,10.011773651710076,2025-06-14,Disable affected service if not required.,2025-06-26,Mitigation,2025-09-18,vuln-671598,2026-02-04,0,TCP,,Critical,ACTIVE,122,2026-04-29
285,datacenterrtr01.example.net,asset-99071,10.99.216.237,DATACENTERRTR01,Cisco IOS OS,CVE-2023-20032,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-6902,Cisco IOS XE Software SNMP Denial of Service,Upgrade to the latest firmware version.,8.039962686726716,2025-10-21,Disable affected service if not required.,2025-08-13,Mitigation,2025-12-06,vuln-240800,2026-02-05,22,ICMP,,High,ACTIVE,5,2026-04-28
337,datacenterrtr01.example.net,asset-99071,10.112.250.254,DATACENTERRTR01,Cisco IOS OS,CVE-2022-20699,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-3224,Cisco Small Business Routers RCE,Upgrade to the latest firmware version.,9.384663444289718,2025-02-13,Disable affected service if not required.,2025-06-09,Mitigation,2025-09-13,vuln-927251,2026-01-31,8443,UDP,,Critical,ACTIVE,160,2026-04-26
261,datacenterrtr01.example.net,asset-99071,10.109.142.210,DATACENTERRTR01,Cisco IOS OS,CVE-2023-20273,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-8373,Cisco IOS XE Software Web UI Command Injection,Upgrade to the latest firmware version.,7.0847147178300265,2025-09-14,Disable affected service if not required.,2025-10-04,Mitigation,2025-09-21,vuln-733941,2026-02-05,8443,UDP,,High,ACTIVE,61,2026-03-23
211,datacenterrtr01.example.net,asset-99071,10.238.140.148,DATACENTERRTR01,Cisco IOS OS,CVE-2019-1653,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-7012,Cisco Small Business Routers Information Disclosure,Upgrade to the latest firmware version.,7.033461876051377,2025-12-19,Disable affected service if not required.,2025-05-05,Mitigation,2025-10-05,vuln-218661,2026-02-01,443,ICMP,,High,ACTIVE,21,2026-04-28
239,datacenterrtr01.example.net,asset-99071,10.133.21.134,DATACENTERRTR01,Cisco IOS OS,CVE-2023-20198,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-2449,Cisco IOS XE Software Web UI Privilege Escalation,Upgrade to the latest firmware version.,9.745231304112462,2025-02-19,Disable affected service if not required.,2025-11-29,Mitigation,2025-08-22,vuln-936866,2026-02-01,80,ICMP,,Critical,ACTIVE,14,2026-03-11
19,datacenterrtr02.example.net,asset-55029,10.178.237.153,DATACENTERRTR02,Cisco IOS OS,CVE-2022-20968,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-5981,Cisco IP Phone Buffer Overflow,Upgrade to the latest firmware version.,5.726971714086991,2025-03-25,Disable affected service if not required.,2025-08-27,Mitigation,2025-12-23,vuln-759868,2026-02-02,8443,TCP,,Medium,ACTIVE,147,2026-05-04
320,datacenterrtr02.example.net,asset-55029,10.7.74.125,DATACENTERRTR02,Cisco IOS OS,CVE-2023-20198,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-2351,Cisco IOS XE Software Web UI Privilege Escalation,Upgrade to the latest firmware version.,9.626821335446806,2025-11-29,Disable affected service if not required.,2025-08-18,Mitigation,2025-11-04,vuln-238976,2026-02-01,80,UDP,,Critical,ACTIVE,66,2026-05-07
310,datacenterrtr02.example.net,asset-55029,10.45.233.152,DATACENTERRTR02,Cisco IOS OS,CVE-2021-34527,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-3476,Cisco IOS XE Software Buffer Overflow,Upgrade to the latest firmware version.,7.959155640353658,2025-07-02,Disable affected service if not required.,2025-10-10,Mitigation,2025-11-02,vuln-920539,2026-01-31,23,UDP,,High,ACTIVE,47,2026-03-17
176,datacenterrtr02.example.net,asset-55029,10.252.22.248,DATACENTERRTR02,Cisco IOS OS,CVE-2020-3566,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-3376,Cisco IOS XR Software DVMRP Memory Exhaustion,Upgrade to the latest firmware version.,6.895544091864987,2025-10-21,Disable affected service if not required.,2025-04-29,Mitigation,2025-09-24,vuln-907789,2026-02-02,23,ICMP,,Medium,ACTIVE,113,2026-03-22
108,datacenterrtr02.example.net,asset-55029,10.148.188.216,DATACENTERRTR02,Cisco IOS OS,CVE-2020-3452,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-6653,Cisco ASA and FTD Software Path Traversal,Upgrade to the latest firmware version.,7.0543257865478175,2025-08-25,Disable affected service if not required.,2025-11-09,Mitigation,2025-12-25,vuln-275741,2026-02-02,443,UDP,,High,ACTIVE,78,2026-04-07
195,datacenterrtr02.example.net,asset-55029,10.175.181.100,DATACENTERRTR02,Cisco IOS OS,CVE-2023-20032,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-8775,Cisco IOS XE Software SNMP Denial of Service,Upgrade to the latest firmware version.,7.462625151463969,2025-04-11,Disable affected service if not required.,2025-05-30,Mitigation,2026-01-04,vuln-402820,2026-01-30,443,UDP,,High,ACTIVE,174,2026-04-17
50,datacenterrtr02.example.net,asset-55029,10.235.137.164,DATACENTERRTR02,Cisco IOS OS,CVE-2022-20699,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-6797,Cisco Small Business Routers RCE,Upgrade to the latest firmware version.,10.256183655889625,2025-05-31,Disable affected service if not required.,2025-08-21,Mitigation,2025-10-14,vuln-383457,2026-02-03,22,UDP,,Critical,ACTIVE,168,2026-03-31
237,datacenterrtr02.example.net,asset-55029,10.198.173.192,DATACENTERRTR02,Cisco IOS OS,CVE-2021-1497,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-4961,Cisco HyperFlex HX Command Injection,Upgrade to the latest firmware version.,10.034313455759658,2025-03-12,Disable affected service if not required.,2025-09-30,Mitigation,2025-08-27,vuln-453796,2026-01-31,0,TCP,,Critical,ACTIVE,81,2026-04-02
345,datacenterrtr02.example.net,asset-55029,10.3.213.18,DATACENTERRTR02,Cisco IOS OS,CVE-2024-20353,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-1195,Cisco ASA and FTD Software Web Services DoS,Upgrade to the latest firmware version.,8.511248766613742,2025-04-14,Disable affected service if not required.,2025-11-15,Mitigation,2025-09-15,vuln-468591,2026-02-04,0,UDP,,High,ACTIVE,65,2026-04-25
13,datacenterrtr02.example.net,asset-55029,10.159.24.15,DATACENTERRTR02,Cisco IOS OS,CVE-2019-1653,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-4552,Cisco Small Business Routers Information Disclosure,Upgrade to the latest firmware version.,7.950488959248252,2025-02-15,Disable affected service if not required.,2025-11-06,Mitigation,2025-12-08,vuln-190582,2026-01-30,8443,TCP,,High,ACTIVE,97,2026-03-26
57,datacenterrtr02.example.net,asset-55029,10.179.48.65,DATACENTERRTR02,Cisco IOS OS,CVE-2018-0171,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-5826,Cisco IOS and IOS XE Software Smart Install,Upgrade to the latest firmware version.,9.766955577287659,2025-11-30,Disable affected service if not required.,2025-05-20,Mitigation,2025-10-29,vuln-906731,2026-02-02,0,ICMP,,Critical,ACTIVE,83,2026-04-21
92,abortr01.example.net,asset-31229,10.166.126.28,ABORTR01,Cisco IOS OS,CVE-2023-20273,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-3357,Cisco IOS XE Software Web UI Command Injection,Upgrade to the latest firmware version.,7.240632156794573,2025-06-01,Disable affected service if not required.,2025-09-18,Mitigation,2025-12-11,vuln-563031,2026-01-31,80,TCP,,High,ACTIVE,9,2026-05-03
293,abortr01.example.net,asset-31229,10.187.65.199,ABORTR01,Cisco IOS OS,CVE-2023-20269,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-8305,Cisco ASA and FTD Software Remote Access VPN,Upgrade to the latest firmware version.,7.0187647931017905,2025-04-28,Disable affected service if not required.,2025-10-23,Mitigation,2026-01-07,vuln-139673,2026-01-31,443,UDP,,High,ACTIVE,39,2026-03-24
