age_in_days,asset.host_name,asset.id,asset.ipv4_addresses,asset.name,asset.operating_systems,definition.cve,definition.description,definition.family,definition.id,definition.name,definition.solution,definition.vpr.score,definition.vulnerability_published,definition.workaround,definition.workaround_published,definition.workaround_type,first_observed,id,last_seen,port,protocol,resurfaced_date,severity,state,vuln_age,vuln_sla_date
307,hqcoreswan02.example.net,asset-46434,10.83.126.5,HQCORESWAN02,Cisco IOS OS,CVE-2024-20359,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-2832,Cisco ASA and FTD Software Arbitrary File Read,Upgrade to the latest firmware version.,6.429098616264617,2025-08-03,Disable affected service if not required.,2025-09-07,Mitigation,2025-12-24,vuln-352572,2026-02-01,22,TCP,,Medium,ACTIVE,125,2026-03-16
273,hqcoreswan02.example.net,asset-46434,10.197.33.33,HQCORESWAN02,Cisco IOS OS,CVE-2023-20269,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-8787,Cisco ASA and FTD Software Remote Access VPN,Upgrade to the latest firmware version.,7.946848679704991,2025-10-15,Disable affected service if not required.,2025-08-25,Mitigation,2025-08-25,vuln-736059,2026-02-02,23,ICMP,,High,ACTIVE,177,2026-04-25
205,hqcoreswan02.example.net,asset-46434,10.172.167.96,HQCORESWAN02,Cisco IOS OS,CVE-2019-1653,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-8177,Cisco Small Business Routers Information Disclosure,Upgrade to the latest firmware version.,7.899614084642946,2025-05-21,Disable affected service if not required.,2025-11-07,Mitigation,2025-11-05,vuln-335612,2026-02-05,80,TCP,,High,ACTIVE,151,2026-04-02
302,hqcoreswan02.example.net,asset-46434,10.57.2.19,HQCORESWAN02,Cisco IOS OS,CVE-2021-1497,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-1964,Cisco HyperFlex HX Command Injection,Upgrade to the latest firmware version.,9.528941783811154,2025-12-22,Disable affected service if not required.,2025-07-22,Mitigation,2025-12-20,vuln-639131,2026-02-04,80,ICMP,,Critical,ACTIVE,125,2026-04-24
209,branchswan01.example.net,asset-80678,10.49.25.25,BRANCHSWAN01,Cisco IOS OS,CVE-2023-20032,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-8062,Cisco IOS XE Software SNMP Denial of Service,Upgrade to the latest firmware version.,7.554297566589554,2025-06-11,Disable affected service if not required.,2025-05-13,Mitigation,2025-12-25,vuln-806073,2026-01-31,0,TCP,,High,ACTIVE,16,2026-04-12
56,branchswan01.example.net,asset-80678,10.64.50.49,BRANCHSWAN01,Cisco IOS OS,CVE-2019-1653,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-9786,Cisco Small Business Routers Information Disclosure,Upgrade to the latest firmware version.,7.448613547833132,2025-06-05,Disable affected service if not required.,2025-10-06,Mitigation,2025-10-28,vuln-585100,2026-02-04,22,UDP,,High,ACTIVE,141,2026-05-01
334,branchswan01.example.net,asset-80678,10.139.215.4,BRANCHSWAN01,Cisco IOS OS,CVE-2021-1473,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-2528,Cisco Small Business Router Management Interface,Upgrade to the latest firmware version.,4.726366983008127,2025-09-08,Disable affected service if not required.,2025-10-14,Mitigation,2025-09-25,vuln-609231,2026-02-02,23,UDP,,Low,ACTIVE,16,2026-04-27
2,branchswan01.example.net,asset-80678,10.253.100.68,BRANCHSWAN01,Cisco IOS OS,CVE-2021-34527,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-8454,Cisco IOS XE Software Buffer Overflow,Upgrade to the latest firmware version.,7.58524922894692,2025-03-29,Disable affected service if not required.,2025-05-03,Mitigation,2025-11-29,vuln-299122,2026-02-03,23,TCP,,High,ACTIVE,149,2026-03-21
161,branchswan01.example.net,asset-80678,10.15.13.150,BRANCHSWAN01,Cisco IOS OS,CVE-2024-20359,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-8811,Cisco ASA and FTD Software Arbitrary File Read,Upgrade to the latest firmware version.,6.0028503829195135,2025-04-11,Disable affected service if not required.,2025-10-19,Mitigation,2025-12-24,vuln-632496,2026-02-05,23,TCP,,Medium,ACTIVE,153,2026-05-03
318,branchswan02.example.net,asset-98501,10.21.108.169,BRANCHSWAN02,Cisco IOS OS,CVE-2021-1497,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-9565,Cisco HyperFlex HX Command Injection,Upgrade to the latest firmware version.,9.616369845976728,2025-08-27,Disable affected service if not required.,2025-09-25,Mitigation,2025-10-19,vuln-350280,2026-02-03,443,TCP,,Critical,ACTIVE,172,2026-03-27
235,branchswan02.example.net,asset-98501,10.81.238.193,BRANCHSWAN02,Cisco IOS OS,CVE-2023-20273,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-2188,Cisco IOS XE Software Web UI Command Injection,Upgrade to the latest firmware version.,6.709315456884246,2025-02-23,Disable affected service if not required.,2025-11-17,Mitigation,2025-12-20,vuln-663750,2026-02-04,8443,UDP,,High,ACTIVE,34,2026-03-09
36,branchswan02.example.net,asset-98501,10.226.63.95,BRANCHSWAN02,Cisco IOS OS,CVE-2019-1653,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-5669,Cisco Small Business Routers Information Disclosure,Upgrade to the latest firmware version.,7.1577468323572315,2025-04-04,Disable affected service if not required.,2025-08-06,Mitigation,2025-08-25,vuln-108203,2026-01-31,8443,UDP,,High,ACTIVE,170,2026-05-01
136,branchswan02.example.net,asset-98501,10.30.228.28,BRANCHSWAN02,Cisco IOS OS,CVE-2024-20359,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-3546,Cisco ASA and FTD Software Arbitrary File Read,Upgrade to the latest firmware version.,5.772348212314816,2025-03-04,Disable affected service if not required.,2025-09-22,Mitigation,2025-10-12,vuln-313487,2026-01-31,0,UDP,,Medium,ACTIVE,130,2026-04-06
27,branchswan02.example.net,asset-98501,10.24.163.109,BRANCHSWAN02,Cisco IOS OS,CVE-2022-20968,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-5533,Cisco IP Phone Buffer Overflow,Upgrade to the latest firmware version.,5.04408676179905,2025-07-21,Disable affected service if not required.,2025-11-02,Mitigation,2025-11-01,vuln-269430,2026-01-31,443,ICMP,,Medium,ACTIVE,110,2026-04-02
58,branchswan02.example.net,asset-98501,10.20.242.227,BRANCHSWAN02,Cisco IOS OS,CVE-2018-0171,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-3442,Cisco IOS and IOS XE Software Smart Install,Upgrade to the latest firmware version.,9.845590289205523,2025-07-02,Disable affected service if not required.,2025-10-24,Mitigation,2025-09-19,vuln-233636,2026-02-05,80,UDP,,Critical,ACTIVE,11,2026-03-11
318,branchswan03.example.net,asset-56898,10.192.40.237,BRANCHSWAN03,Cisco IOS OS,CVE-2018-0171,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-4878,Cisco IOS and IOS XE Software Smart Install,Upgrade to the latest firmware version.,10.164605696219965,2025-10-09,Disable affected service if not required.,2025-06-10,Mitigation,2026-01-01,vuln-288073,2026-01-31,80,UDP,,Critical,ACTIVE,172,2026-03-13
137,branchswan03.example.net,asset-56898,10.41.202.180,BRANCHSWAN03,Cisco IOS OS,CVE-2024-20359,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-2771,Cisco ASA and FTD Software Arbitrary File Read,Upgrade to the latest firmware version.,5.882541722596934,2025-12-19,Disable affected service if not required.,2025-05-12,Mitigation,2025-11-12,vuln-309267,2026-01-30,443,UDP,,Medium,ACTIVE,79,2026-03-16
115,branchswan03.example.net,asset-56898,10.7.169.50,BRANCHSWAN03,Cisco IOS OS,CVE-2020-3566,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-7528,Cisco IOS XR Software DVMRP Memory Exhaustion,Upgrade to the latest firmware version.,6.628261951197707,2025-12-03,Disable affected service if not required.,2025-08-18,Mitigation,2025-10-10,vuln-772642,2026-02-01,443,ICMP,,Medium,ACTIVE,138,2026-04-16
60,branchswan03.example.net,asset-56898,10.225.249.67,BRANCHSWAN03,Cisco IOS OS,CVE-2023-20273,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-3925,Cisco IOS XE Software Web UI Command Injection,Upgrade to the latest firmware version.,7.280589733738708,2025-08-25,Disable affected service if not required.,2025-12-19,Mitigation,2025-12-11,vuln-725550,2026-02-02,80,ICMP,,High,ACTIVE,81,2026-04-10
198,branchswan03.example.net,asset-56898,10.231.148.49,BRANCHSWAN03,Cisco IOS OS,CVE-2022-20699,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-5173,Cisco Small Business Routers RCE,Upgrade to the latest firmware version.,9.344386533713232,2025-05-29,Disable affected service if not required.,2026-01-07,Mitigation,2025-08-27,vuln-945687,2026-02-01,0,ICMP,,Critical,ACTIVE,172,2026-04-25
221,branchswan03.example.net,asset-56898,10.18.243.171,BRANCHSWAN03,Cisco IOS OS,CVE-2020-3452,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-6409,Cisco ASA and FTD Software Path Traversal,Upgrade to the latest firmware version.,7.623155409946409,2025-11-05,Disable affected service if not required.,2025-08-07,Mitigation,2025-08-31,vuln-424308,2026-01-31,443,UDP,,High,ACTIVE,104,2026-03-24
108,datacenterrtr01.example.net,asset-48752,10.111.202.149,DATACENTERRTR01,Cisco IOS OS,CVE-2024-20353,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-6279,Cisco ASA and FTD Software Web Services DoS,Upgrade to the latest firmware version.,8.564988190247014,2025-05-26,Disable affected service if not required.,2025-09-20,Mitigation,2025-08-30,vuln-596171,2026-01-30,0,TCP,,High,ACTIVE,169,2026-05-02
264,datacenterrtr01.example.net,asset-48752,10.170.163.159,DATACENTERRTR01,Cisco IOS OS,CVE-2024-20359,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-6491,Cisco ASA and FTD Software Arbitrary File Read,Upgrade to the latest firmware version.,5.593387200075563,2025-09-09,Disable affected service if not required.,2025-08-02,Mitigation,2025-11-11,vuln-945742,2026-02-04,23,TCP,,Medium,ACTIVE,12,2026-04-22
313,datacenterrtr01.example.net,asset-48752,10.218.197.19,DATACENTERRTR01,Cisco IOS OS,CVE-2021-1497,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-8461,Cisco HyperFlex HX Command Injection,Upgrade to the latest firmware version.,9.71444101099772,2025-02-19,Disable affected service if not required.,2025-09-30,Mitigation,2025-10-01,vuln-618392,2026-02-02,23,TCP,,Critical,ACTIVE,168,2026-03-24
55,datacenterrtr01.example.net,asset-48752,10.200.109.57,DATACENTERRTR01,Cisco IOS OS,CVE-2018-0171,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-3881,Cisco IOS and IOS XE Software Smart Install,Upgrade to the latest firmware version.,10.104109856173144,2025-04-17,Disable affected service if not required.,2025-05-15,Mitigation,2025-12-26,vuln-684482,2026-02-04,22,UDP,,Critical,ACTIVE,35,2026-03-17
342,datacenterrtr01.example.net,asset-48752,10.136.253.144,DATACENTERRTR01,Cisco IOS OS,CVE-2022-20968,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-6198,Cisco IP Phone Buffer Overflow,Upgrade to the latest firmware version.,5.950039608443156,2025-05-26,Disable affected service if not required.,2025-04-24,Mitigation,2025-09-20,vuln-970914,2026-02-01,443,TCP,,Medium,ACTIVE,122,2026-04-09
127,datacenterrtr01.example.net,asset-48752,10.216.164.71,DATACENTERRTR01,Cisco IOS OS,CVE-2020-3566,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-9540,Cisco IOS XR Software DVMRP Memory Exhaustion,Upgrade to the latest firmware version.,6.784597017070267,2025-09-07,Disable affected service if not required.,2025-08-20,Mitigation,2025-09-17,vuln-181247,2026-01-31,80,TCP,,Medium,ACTIVE,70,2026-04-16
277,datacenterrtr01.example.net,asset-48752,10.21.36.39,DATACENTERRTR01,Cisco IOS OS,CVE-2023-20269,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-4788,Cisco ASA and FTD Software Remote Access VPN,Upgrade to the latest firmware version.,7.383035292431338,2025-10-21,Disable affected service if not required.,2025-09-20,Mitigation,2025-12-22,vuln-535020,2026-02-02,80,ICMP,,High,ACTIVE,120,2026-04-11
106,datacenterrtr01.example.net,asset-48752,10.214.108.100,DATACENTERRTR01,Cisco IOS OS,CVE-2023-20032,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-1320,Cisco IOS XE Software SNMP Denial of Service,Upgrade to the latest firmware version.,8.056732032303934,2025-03-19,Disable affected service if not required.,2025-06-27,Mitigation,2025-09-07,vuln-106182,2026-02-03,80,UDP,,High,ACTIVE,108,2026-04-03
250,datacenterrtr01.example.net,asset-48752,10.57.70.112,DATACENTERRTR01,Cisco IOS OS,CVE-2020-3452,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-8956,Cisco ASA and FTD Software Path Traversal,Upgrade to the latest firmware version.,7.029024819946716,2025-07-19,Disable affected service if not required.,2025-06-14,Mitigation,2025-11-26,vuln-981334,2026-02-02,23,ICMP,,High,ACTIVE,137,2026-05-06
304,datacenterrtr01.example.net,asset-48752,10.145.170.7,DATACENTERRTR01,Cisco IOS OS,CVE-2023-20198,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-2375,Cisco IOS XE Software Web UI Privilege Escalation,Upgrade to the latest firmware version.,10.142749648009335,2025-10-30,Disable affected service if not required.,2025-05-16,Mitigation,2025-11-22,vuln-152727,2026-02-03,443,UDP,,Critical,ACTIVE,55,2026-04-08
173,datacenterrtr01.example.net,asset-48752,10.195.226.98,DATACENTERRTR01,Cisco IOS OS,CVE-2019-1653,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-5558,Cisco Small Business Routers Information Disclosure,Upgrade to the latest firmware version.,7.7520098235547845,2025-06-06,Disable affected service if not required.,2025-08-31,Mitigation,2025-12-18,vuln-593152,2026-02-05,0,ICMP,,High,ACTIVE,14,2026-03-08
103,datacenterrtr02.example.net,asset-55870,10.215.6.160,DATACENTERRTR02,Cisco IOS OS,CVE-2018-0171,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-3496,Cisco IOS and IOS XE Software Smart Install,Upgrade to the latest firmware version.,9.538544941888906,2025-05-10,Disable affected service if not required.,2025-11-10,Mitigation,2025-08-16,vuln-328552,2026-02-02,0,UDP,,Critical,ACTIVE,95,2026-04-27
84,datacenterrtr02.example.net,asset-55870,10.247.80.28,DATACENTERRTR02,Cisco IOS OS,CVE-2023-20273,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-1420,Cisco IOS XE Software Web UI Command Injection,Upgrade to the latest firmware version.,7.628887168407122,2025-03-19,Disable affected service if not required.,2025-06-29,Mitigation,2025-09-28,vuln-849747,2026-02-04,22,ICMP,,High,ACTIVE,177,2026-03-15
53,datacenterrtr02.example.net,asset-55870,10.179.198.78,DATACENTERRTR02,Cisco IOS OS,CVE-2022-20968,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-2983,Cisco IP Phone Buffer Overflow,Upgrade to the latest firmware version.,5.796227216600212,2025-03-24,Disable affected service if not required.,2025-12-17,Mitigation,2025-10-11,vuln-658623,2026-02-02,0,UDP,,Medium,ACTIVE,18,2026-04-05
7,datacenterrtr02.example.net,asset-55870,10.218.108.211,DATACENTERRTR02,Cisco IOS OS,CVE-2020-3566,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-9031,Cisco IOS XR Software DVMRP Memory Exhaustion,Upgrade to the latest firmware version.,6.405538870643999,2025-07-06,Disable affected service if not required.,2025-05-17,Mitigation,2025-11-29,vuln-556641,2026-02-04,0,ICMP,,Medium,ACTIVE,167,2026-04-20
239,datacenterrtr02.example.net,asset-55870,10.112.212.188,DATACENTERRTR02,Cisco IOS OS,CVE-2023-20198,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-5397,Cisco IOS XE Software Web UI Privilege Escalation,Upgrade to the latest firmware version.,9.822304582981118,2025-09-04,Disable affected service if not required.,2025-11-24,Mitigation,2025-10-28,vuln-572700,2026-02-04,443,ICMP,,Critical,ACTIVE,157,2026-03-26
173,datacenterrtr02.example.net,asset-55870,10.8.127.218,DATACENTERRTR02,Cisco IOS OS,CVE-2023-20032,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-6325,Cisco IOS XE Software SNMP Denial of Service,Upgrade to the latest firmware version.,7.381839857157692,2025-09-21,Disable affected service if not required.,2025-07-10,Mitigation,2025-11-02,vuln-456871,2026-02-03,8443,ICMP,,High,ACTIVE,71,2026-04-02
9,abortr01.example.net,asset-11330,10.24.76.57,ABORTR01,Cisco IOS OS,CVE-2024-20359,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-7625,Cisco ASA and FTD Software Arbitrary File Read,Upgrade to the latest firmware version.,6.191787155295202,2025-08-04,Disable affected service if not required.,2025-07-03,Mitigation,2025-09-08,vuln-680358,2026-02-01,80,UDP,,Medium,ACTIVE,141,2026-04-16
360,abortr01.example.net,asset-11330,10.117.70.79,ABORTR01,Cisco IOS OS,CVE-2023-20273,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-5118,Cisco IOS XE Software Web UI Command Injection,Upgrade to the latest firmware version.,6.930538041298508,2025-10-01,Disable affected service if not required.,2025-07-30,Mitigation,2025-12-08,vuln-878967,2026-02-01,0,TCP,,High,ACTIVE,50,2026-04-24
142,abortr01.example.net,asset-11330,10.186.151.251,ABORTR01,Cisco IOS OS,CVE-2020-3566,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-9595,Cisco IOS XR Software DVMRP Memory Exhaustion,Upgrade to the latest firmware version.,6.8967907405123015,2025-11-17,Disable affected service if not required.,2025-09-30,Mitigation,2025-10-24,vuln-338533,2026-02-03,23,UDP,,Medium,ACTIVE,4,2026-03-23
141,abortr01.example.net,asset-11330,10.12.250.14,ABORTR01,Cisco IOS OS,CVE-2023-20032,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-5786,Cisco IOS XE Software SNMP Denial of Service,Upgrade to the latest firmware version.,7.897417392910195,2025-11-04,Disable affected service if not required.,2025-05-01,Mitigation,2025-12-12,vuln-112861,2026-02-01,80,UDP,,High,ACTIVE,123,2026-04-09
95,abortr01.example.net,asset-11330,10.248.14.65,ABORTR01,Cisco IOS OS,CVE-2021-1497,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-8827,Cisco HyperFlex HX Command Injection,Upgrade to the latest firmware version.,9.414087140724925,2025-12-05,Disable affected service if not required.,2025-06-16,Mitigation,2025-09-04,vuln-177680,2026-02-01,0,ICMP,,Critical,ACTIVE,14,2026-04-28
289,abortr01.example.net,asset-11330,10.243.78.22,ABORTR01,Cisco IOS OS,CVE-2021-34527,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-5066,Cisco IOS XE Software Buffer Overflow,Upgrade to the latest firmware version.,7.4184515622114615,2025-06-08,Disable affected service if not required.,2025-09-14,Mitigation,2025-08-27,vuln-498855,2026-02-02,443,UDP,,High,ACTIVE,151,2026-04-10
292,abortr01.example.net,asset-11330,10.159.16.157,ABORTR01,Cisco IOS OS,CVE-2020-3452,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-2625,Cisco ASA and FTD Software Path Traversal,Upgrade to the latest firmware version.,7.9475902003253776,2025-09-23,Disable affected service if not required.,2025-09-21,Mitigation,2025-11-01,vuln-792509,2026-02-05,23,TCP,,High,ACTIVE,45,2026-04-02
81,abortr01.example.net,asset-11330,10.1.105.116,ABORTR01,Cisco IOS OS,CVE-2022-20968,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-8699,Cisco IP Phone Buffer Overflow,Upgrade to the latest firmware version.,5.291259289031028,2025-09-11,Disable affected service if not required.,2025-08-13,Mitigation,2025-10-27,vuln-837135,2026-01-30,443,TCP,,Medium,ACTIVE,176,2026-04-23
321,abortr01.example.net,asset-11330,10.151.170.206,ABORTR01,Cisco IOS OS,CVE-2022-20699,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-4241,Cisco Small Business Routers RCE,Upgrade to the latest firmware version.,9.725138966104213,2025-04-04,Disable affected service if not required.,2025-09-14,Mitigation,2025-11-30,vuln-378535,2026-01-30,23,TCP,,Critical,ACTIVE,16,2026-04-27
305,abortr01.example.net,asset-11330,10.192.212.146,ABORTR01,Cisco IOS OS,CVE-2019-1653,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-5728,Cisco Small Business Routers Information Disclosure,Upgrade to the latest firmware version.,7.439153448673737,2025-05-13,Disable affected service if not required.,2025-08-05,Mitigation,2025-09-26,vuln-385470,2026-02-01,8443,UDP,,High,ACTIVE,113,2026-05-02
222,abortr01.example.net,asset-11330,10.189.83.155,ABORTR01,Cisco IOS OS,CVE-2018-0171,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-5102,Cisco IOS and IOS XE Software Smart Install,Upgrade to the latest firmware version.,9.325864892388337,2025-09-12,Disable affected service if not required.,2025-12-28,Mitigation,2025-10-31,vuln-704238,2026-02-05,23,UDP,,Critical,ACTIVE,133,2026-03-27
210,abortr02.example.net,asset-67963,10.86.83.172,ABORTR02,Cisco IOS OS,CVE-2024-20353,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-2713,Cisco ASA and FTD Software Web Services DoS,Upgrade to the latest firmware version.,8.957733094400352,2025-07-23,Disable affected service if not required.,2025-06-11,Mitigation,2025-09-03,vuln-402218,2026-01-31,443,ICMP,,High,ACTIVE,10,2026-04-08
162,abortr02.example.net,asset-67963,10.65.83.30,ABORTR02,Cisco IOS OS,CVE-2019-1653,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-7622,Cisco Small Business Routers Information Disclosure,Upgrade to the latest firmware version.,7.864910584051879,2026-01-07,Disable affected service if not required.,2025-05-16,Mitigation,2025-09-24,vuln-156837,2026-02-04,8443,UDP,,High,ACTIVE,160,2026-03-20
321,abortr02.example.net,asset-67963,10.114.195.14,ABORTR02,Cisco IOS OS,CVE-2021-1497,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-4335,Cisco HyperFlex HX Command Injection,Upgrade to the latest firmware version.,9.567056238272933,2025-11-01,Disable affected service if not required.,2025-08-13,Mitigation,2025-09-17,vuln-832168,2026-02-02,22,TCP,,Critical,ACTIVE,162,2026-03-30
364,abortr02.example.net,asset-67963,10.41.80.142,ABORTR02,Cisco IOS OS,CVE-2018-0171,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-1224,Cisco IOS and IOS XE Software Smart Install,Upgrade to the latest firmware version.,9.852251409053734,2025-11-21,Disable affected service if not required.,2025-09-14,Mitigation,2025-12-09,vuln-583863,2026-02-05,0,TCP,,Critical,ACTIVE,128,2026-03-09
261,abortr02.example.net,asset-67963,10.181.70.107,ABORTR02,Cisco IOS OS,CVE-2021-34527,Vulnerability in Cisco IOS software allows...,Cisco IOS,def-8905,Cisco IOS XE Software Buffer Overflow,Upgrade to the latest firmware version.,8.280244632603376,2025-09-05,Disable affected service if not required.,2025-05-19,Mitigation,2025-08-19,vuln-251668,2026-02-02,23,ICMP,,High,ACTIVE,131,2026-03-21
